,loadingOrder,Port,longitude,latitude,longitude_int,latitude_int
0,CY916461064223,ABIDJAN,-4.013568,5.271138,-4,5
1,FU741655500784,AEAUH,51.603196999999994,25.023357,51,25
2,OB525697302105,AEAUH,51.603196999999994,25.023357,51,25
3,CB822056858537,AEJEA,55.054628,24.991267999999998,55,24
4,TM874120837626,AEJEA,55.055375,24.99006,55,24
5,MS703193904106,AEJEA,55.058997,24.984047,55,24
6,IW108849121724,AEJEA,55.055528,24.991967000000002,55,24
7,DN846609303994,AEJEA,55.0595,24.9835,55,24
8,DN634114006464,AEJEA,55.055252,24.990553,55,24
9,SN750058998876,AEJEA,55.055677,24.98974,55,24
10,WY317678247714,AEJEA,55.054621999999995,24.989775,55,24
11,CQ512325801120,AEJEA,55.059644999999996,24.990975,55,24
12,GM781790215241,AEJEA,55.059253000000005,24.983757999999998,55,24
13,VM398721520412,AEJEA,55.059768000000005,24.991393,55,24
14,CW222039537426,AEJEA,55.059253000000005,24.983757999999998,55,24
15,TR631132506871,AEJEA,51.71025,25.17985,51,25
16,LK604434668413,AEJEA,55.056858,24.991788,55,24
17,IH160465518094,AEJEA,52.262227,25.417337,52,25
18,JR389200922197,AEJEA,55.054713,24.989297,55,24
19,HN658824257060,AEJEA,55.059368000000006,24.983747,55,24
20,HN194176340168,AEJEA,56.81665,25.8458,56,25
21,JS777877968287,AEJEA,55.060192,24.99155,55,24
22,BP485942121880,AEJEA,55.054713,24.989297,55,24
23,TD225606347518,AEJEA,55.059063,24.990625,55,24
24,TD501060081406,AEJEA,55.055677,24.988387,55,24
25,YW445431568760,AEJEA,55.055375,24.99006,55,24
26,HN489781817624,AEJEA,55.055677,24.988387,55,24
27,QB212288982883,AEJEA,55.054713,24.989297,55,24
28,RO879622553895,AEJEA,55.05881,24.98528,55,24
29,EG436319888250,AEJEA,55.055388,24.989458,55,24
30,BA925305752730,AEJEA,55.054646999999996,24.991415,55,24
31,YA555598269451,AEJEA,55.055147999999996,24.990717,55,24
32,KO870428921689,AEJEA,55.0555,24.990833,55,24
33,WH887341423892,AEJEA,55.054628,24.991267999999998,55,24
34,YV906901421708,AEJEA,55.058257999999995,24.983547,55,24
35,MT503564286405,AEJEA,55.054646999999996,24.991415,55,24
36,EG730091164712,AEJEA,55.055375,24.99006,55,24
37,ZL560952113164,AEJEA,55.054646999999996,24.991415,55,24
38,ZL747570587071,AEJEA,55.058785,24.984382999999998,55,24
39,RQ666569837697,AEJEA,55.055228,24.988235,55,24
40,MR230337661480,AEJEA,55.060368000000004,24.991678,55,24
41,XU893199879037,AEJEA,55.058257999999995,24.983547,55,24
42,CW868539957577,AEJEA,55.056213,24.993317,55,24
43,LF185612739595,AEJEA,55.059368000000006,24.983747,55,24
44,DJ560280664466,AEJEA,55.06316700000001,24.995667,55,24
45,RT604810652999,AEJEA,55.054717000000004,24.990067,55,24
46,DJ393514541017,AEJEA,55.055583,24.987322,55,24
47,AQ859812245222,AEJEA,54.868097,25.194392999999998,54,25
48,WB410599401436,AEJEA,55.059557,24.990883,55,24
49,TE641914880644,AEJEA,55.059206999999994,24.990586999999998,55,24
50,YS854047133086,AEJEA,55.062467000000005,24.993257999999997,55,24
51,MN170676607421,AEJEA,55.059619999999995,24.983767999999998,55,24
52,AP974946084069,AEJEA,55.05655,24.990973,55,24
53,UB760928999735,AEJEA,55.058257999999995,24.983547,55,24
54,EN972957162888,AEJEA,55.059113,24.984053,55,24
55,AS294921524818,AEJEA,55.059332,24.99057,55,24
56,UZ929029747849,AEJEA,55.058997,24.984047,55,24
57,AS540010708999,AEJEA,55.056175,24.990617,55,24
58,BR121976164380,AEJEA,55.379427,25.883043,55,25
59,FP727245304327,AEJEA,55.058257999999995,24.983547,55,24
60,KQ288232521957,AEJEA,52.322783,25.656317,52,25
61,HF792929604377,AEJEA,55.054713,24.989297,55,24
62,HF635805295996,AEJEA,55.058043000000005,24.984303,55,24
63,WZ635541235103,AEJEA,55.059835,24.991065,55,24
64,HY602667700032,AEJEA,55.059513,24.984215,55,24
65,ZM508264991283,AEJEA,55.057813,24.990853,55,24
66,JS852976191680,AEJEA,52.236483,25.590232999999998,52,25
67,WZ659432315038,AEJEA,55.055337,24.988553,55,24
68,XV418660055730,AEJEA,55.0515,24.99,55,24
69,LK905973586481,AEJEA,55.055528,24.991967000000002,55,24
70,OZ688326997074,AEJEA,55.059162,24.983583,55,24
71,TL495640393094,AEJEA,55.056242000000005,24.98836,55,24
72,GU980210515912,AEJEA,55.05881,24.98528,55,24
73,UZ864057561741,AEJEA,55.059332,24.99057,55,24
74,EL435150540398,AEJEA,55.059723,24.99429,55,24
75,GD430064269588,AEJEA,55.058257999999995,24.983547,55,24
76,KO187869610446,AEJEA,55.058257999999995,24.983547,55,24
77,WJ453462665501,AEJEA,55.059253000000005,24.983757999999998,55,24
78,GQ321675164781,AEJEA,51.71025,25.17985,51,25
79,TO921602000069,AEJEA,55.059513,24.984215,55,24
80,FL441479561268,AEJEA,55.059206999999994,24.990586999999998,55,24
81,OQ122653502469,AEJEA,55.055677,24.988387,55,24
82,XX368720046381,AEJEA,55.062619999999995,24.99325,55,24
83,HJ524671591332,AEJEA,55.058257999999995,24.983547,55,24
84,ND830268686729,AEJEA,55.055787,24.990732,55,24
85,TO991640690695,AEJEA,55.059443,24.991678,55,24
86,JY924299164487,AEJEA,55.055677,24.98974,55,24
87,BL132879775819,AEJEA,52.56316700000001,25.685833,52,25
88,YY657942173662,AEJEA,51.966903,25.65244,51,25
89,IL410786709678,AEJEA,55.05909200000001,24.983792,55,24
90,QF358480864466,AEJEA,55.059447999999996,24.990792000000003,55,24
91,DZ963869731424,AEJEA,52.262227,25.417337,52,25
92,KG383425779980,AEJEA,55.056290000000004,24.986007,55,24
93,PQ235605224756,AEJEA,52.318385,25.653665,52,25
94,HK756967874245,AEJEA,51.802452,25.369682,51,25
95,CH632133624378,AEJEA,55.056213,24.993317,55,24
96,RG155548629742,AEJEA,52.318385,25.653665,52,25
97,BH862168991488,AEJEA,51.802452,25.369682,51,25
98,XY505182571243,AEJEA,55.058785,24.984382999999998,55,24
99,DV727585184385,AEJEA,55.05919300000001,24.984507999999998,55,24
100,ZC282535174412,AEJEA,55.054628,24.991267999999998,55,24
101,BH701796328938,AEJEA,55.055228,24.988235,55,24
102,RB614890768733,AEJEA,55.059063,24.990625,55,24
103,HJ752545837612,AEJEA,51.802452,25.369682,51,25
104,YZ579863964552,AEJEA,55.054628,24.991267999999998,55,24
105,ST219747204409,AEJEA,55.057997,24.991003,55,24
106,RE792426432688,AEJEA,55.054717000000004,24.990067,55,24
107,YI389417703139,AEJEA,52.318385,25.653665,52,25
108,OT793057469704,AEJEA,56.81665,25.8458,56,25
109,FY125076686476,AEJEA,55.055388,24.989458,55,24
110,UH395925137403,AEJEA,55.056242000000005,24.98836,55,24
111,WQ404760658007,AEJEA,55.510288,25.970482,55,25
112,IJ592530743865,AEJEA,55.059162,24.983583,55,24
113,PS374836106792,AEJEA,55.058997,24.984047,55,24
114,WN225152919575,AEJEA,52.262227,25.417337,52,25
115,PQ787697658172,AEJEA,55.058997,24.984047,55,24
116,ZI361500303971,AEJEA,55.055655,24.990603,55,24
117,DQ317403371108,AEJEA,55.054628,24.991267999999998,55,24
118,LW964248543652,AEJEA,55.055677,24.988387,55,24
119,KL424300314991,AEJEA,55.054717000000004,24.990067,55,24
120,DP987938295619,AEJEA,55.055375,24.99006,55,24
121,YG752944859060,AEJEA,55.05958199999999,24.983638,55,24
122,BO245299234486,AEJEA,55.058655,24.984657000000002,55,24
123,LJ139510805963,AEJEA,55.059580000000004,24.990853,55,24
124,QX891606646357,AEJEA,55.063981999999996,24.99571,55,24
125,YG741988308722,AEJEA,52.318385,25.653665,52,25
126,UJ720860733682,AEJEA,55.059008,24.984582999999997,55,24
127,WJ965509671829,AEJEA,55.058108,24.98636,55,24
128,UZ382092880148,AEJEA,55.055228,24.988235,55,24
129,IM906712941362,AEJEA,55.054621999999995,24.989775,55,24
130,DP600921504975,AEJEA,55.055252,24.989437,55,24
131,NH941144228285,AEJEA,55.055388,24.989458,55,24
132,WJ458565761801,AEJEA,55.058032,24.983588,55,24
133,YX484018243898,AEJEA,55.055103,24.989943,55,24
134,BN476774092852,AEJEA,55.055228,24.988235,55,24
135,QZ423973176421,AEJEA,55.055677,24.988387,55,24
136,WL369120281419,AEJEA,55.058043000000005,24.984303,55,24
137,UF765778829704,AEJEA,51.71025,25.17985,51,25
138,EB209505841334,AEJEA,55.058257999999995,24.983547,55,24
139,ZG634561123464,AEJEA,55.057997,24.991003,55,24
140,RL264556278364,AEJEA,51.60505,25.016662,51,25
141,II283911564400,AEJEA,55.055147999999996,24.990717,55,24
142,EC403798491939,AEJEA,55.05881,24.98528,55,24
143,FK792320223180,AEJEA,55.058108,24.98636,55,24
144,GC739667188132,AEJEA,55.054628,24.991267999999998,55,24
145,BE465935581299,AEJEA,55.05909200000001,24.983792,55,24
146,BM429039282367,AEJEA,55.055677,24.988387,55,24
147,KJ797153144873,AEJEA,55.054628,24.991267999999998,55,24
148,CS960403482025,AEJEA,55.058602,24.983647,55,24
149,OW305565042654,AEJEA,55.058257,24.984617,55,24
150,BM712782272062,AEJEA,55.055252,24.989437,55,24
151,BM993302083237,AEJEA,55.059152000000005,24.990613,55,24
152,QF597645211299,AEJEA,55.059328,24.983977,55,24
153,JU780251402523,AEJEA,55.059253000000005,24.983757999999998,55,24
154,YS704483941734,AEJEA,55.05883299999999,24.991,55,24
155,XB178773502066,AEJEA,55.055375,24.99006,55,24
156,YH975291490792,AEJEA,55.058257999999995,24.983547,55,24
157,TZ530167437897,AEJEA,55.055507999999996,24.991453,55,24
158,TZ249925692930,AEJEA,55.056175,24.990617,55,24
159,ZU938658342818,AEJEA,55.055655,24.990603,55,24
160,LP834278468165,AEJEA,55.055677,24.988387,55,24
161,CM356776345003,AEJEA,55.055457,24.989717000000002,55,24
162,XL108778323940,AEJEA,55.05944,24.983938000000002,55,24
163,FV418671153301,AEJEA,55.059328,24.983977,55,24
164,DF298204797355,AEJEA,55.058032,24.983588,55,24
165,SB988001876170,AEJEA,55.059328,24.983977,55,24
166,AL367546064512,AEJEA,51.60416,25.019738,51,25
167,HR690026467102,AEJEA,55.05953,24.990742,55,24
168,PI336962906582,AEJEA,55.055147999999996,24.990717,55,24
169,HX692575808859,AEJEA,55.063981999999996,24.99571,55,24
170,FD598514945767,AEJEA,56.81665,25.8458,56,25
171,XG875722385170,AEJEA,55.058108,24.98636,55,24
172,BW345592182578,AEJEA,55.055388,24.989458,55,24
173,JA186922042953,AEJEA,55.058043000000005,24.984303,55,24
174,LQ867041566760,AEJEA,55.0677,24.998428,55,24
175,YE372388311664,AEJEA,55.057683,24.987817,55,24
