,Unnamed: 0,Unnamed: 0.1,loadingOrder,Port,longitude,latitude,longitude_int,latitude_int
0,0,2594,FS739635192813,AAR,10.23579,56.151265,10,56
1,1,11247,YU601110308445,AEJEA,55.0523,24.988388,55,24
2,2,10262,WV101146828201,AEJEA,55.051933,24.9895,55,24
3,3,11544,ZJ775589139419,AEJEA,55.05379300000001,24.984728,55,24
4,4,5792,MS459660909430,AEJEA,55.06381700000001,24.994102,55,24
5,5,10663,XT762106009702,AEJEA,55.051455,24.990045,55,24
6,6,8886,TP648428916796,AEJEA,55.051923,24.989222,55,24
7,7,7703,QZ766761751093,AEJEA,55.052253,24.988298,55,24
8,8,2382,FH189974910714,AEJEA,55.050833,24.992167,55,24
9,9,4068,IV512833217748,AEJEA,55.059535,24.990732,55,24
10,10,9173,UG373501346407,AEJEA,55.06687,25.026127,55,25
11,11,3339,HG963784693618,AEJEA,55.057717,25.024467,55,25
12,12,4005,IR362732404381,AEJEA,55.0523,24.988388,55,24
13,13,10763,YA394084601416,AEJEA,55.05,24.99,55,24
14,14,4026,IS625446794716,AEJEA,55.06013299999999,24.991133,55,24
15,15,1832,DZ993778979479,AEJEA,55.053667,24.985333,55,24
16,18,7792,RF384622703546,ARBUE,-58.341667,-34.641667,-58,-34
17,19,5323,LQ710304511871,ARBUE,-58.341613,-34.645025,-58,-34
18,20,8323,SJ798664010208,ARBUE,-58.342873,-34.642,-58,-34
19,22,6699,OT275157150394,ARBUE,-58.343585,-34.640992,-58,-34
20,24,10079,WJ387887473034,BHBAH,50.713,26.184667,50,26
21,25,9879,VW322331382493,BHBAH,50.712667,26.185167,50,26
22,26,4711,KH366083565591,BHBAH,50.714333,26.1825,50,26
23,27,7630,QV663695752806,BHBAH,50.713167,26.1845,50,26
24,28,3215,HA741592096102,BHBAH,50.7115,26.187333,50,26
25,29,7287,QA847356669191,BREMEN_GERMANY,-94.5821,29.208767,-94,29
26,30,9603,VG150005033726,BRSSZ,-46.354865,-23.920292,-46,-23
27,31,6686,OS394964715779,BRSSZ,-46.354937,-23.92038,-46,-23
28,32,9596,VF644158098653,BRSSZ,-46.34815800000001,-23.921482,-46,-23
29,33,2913,GJ939696090713,BRSSZ,-46.348318,-23.921538,-46,-23
30,34,9325,UO906579679749,BRSSZ,-46.382415,-24.116268,-46,-24
31,35,1497,DI851800751453,BRSSZ,-46.348167,-23.921435,-46,-23
32,36,1870,EC740866331355,BRSSZ,-46.346973,-23.921635,-46,-23
33,37,675,BU356599525816,BRSSZ,-46.31745,-23.925492,-46,-23
34,38,11707,ZS741532090596,BRSSZ,-46.3514,-23.920765,-46,-23
35,40,9545,VB878746820066,BRSSZ,-46.317458,-23.925582,-46,-23
36,41,5921,MZ530071015048,BRSSZ,-46.348162,-23.921437,-46,-23
37,42,605,BQ994086207776,BRSSZ,-46.291642,-23.966325,-46,-23
38,43,2464,FL343063694865,BRSSZ,-46.347223,-23.921632,-46,-23
39,44,8264,SF309798213631,BRSSZ,-46.347223,-23.921632,-46,-23
40,45,8229,SD177990306523,BRSSZ,-46.3472,-23.921603,-46,-23
41,46,8165,RZ472853930281,BRSSZ,-46.35158300000001,-23.920808,-46,-23
42,47,5996,NE868665077503,BRSSZ,-46.314297,-24.19091,-46,-24
43,48,8582,SY893343051902,BRSSZ,-46.346962,-23.921643,-46,-23
