,Unnamed: 0,Unnamed: 0.1,loadingOrder,Port,longitude,latitude,longitude_int,latitude_int
0,0,2594,FS739635192813,AAR,114.117958,22.347738,114,22
1,1,11247,YU601110308445,AEJEA,-4.014262,5.272202,-4,5
2,2,10262,WV101146828201,AEJEA,-4.014697,5.2739970000000005,-4,5
3,5,10663,XT762106009702,AEJEA,-4.01492,5.273833,-4,5
4,6,8886,TP648428916796,AEJEA,-4.013675,5.2708949999999986,-4,5
5,7,7703,QZ766761751093,AEJEA,-4.014482,5.273847,-4,5
6,12,4005,IR362732404381,AEJEA,-4.014262,5.272202,-4,5
7,13,10763,YA394084601416,AEJEA,-4.02194,5.265445,-4,5
8,16,10783,YB293215579736,AQABA,114.117972,22.347832,114,22
9,17,8477,ST415363792203,AQABA,114.123542,22.324328,114,22
10,18,7792,RF384622703546,ARBUE,114.127953,22.328565,114,22
11,20,8323,SJ798664010208,ARBUE,116.489,22.3791,116,22
12,21,2198,EW655554205439,ARBUE,114.121058,22.344187,114,22
13,22,6699,OT275157150394,ARBUE,114.11759,22.34779,114,22
14,23,11536,ZJ462658005219,BHBAH,114.132907,22.327443,114,22
15,24,10079,WJ387887473034,BHBAH,114.118133,22.34794,114,22
16,25,9879,VW322331382493,BHBAH,115.74337,22.172465,115,22
17,26,4711,KH366083565591,BHBAH,114.121,22.343917,114,22
18,27,7630,QV663695752806,BHBAH,114.118138,22.346835,114,22
19,28,3215,HA741592096102,BHBAH,114.118253,22.34701,114,22
20,29,7287,QA847356669191,BREMEN_GERMANY,34.559447,28.265468,34,28
21,30,9603,VG150005033726,BRSSZ,113.86748500000002,22.485198,113,22
22,31,6686,OS394964715779,BRSSZ,114.11637,22.33563,114,22
23,32,9596,VF644158098653,BRSSZ,114.116657,22.335717,114,22
24,33,2913,GJ939696090713,BRSSZ,114.118463,22.332903,114,22
25,35,1497,DI851800751453,BRSSZ,114.116657,22.335717,114,22
26,36,1870,EC740866331355,BRSSZ,113.875163,22.465173,113,22
27,37,675,BU356599525816,BRSSZ,114.12774,22.328288,114,22
28,38,11707,ZS741532090596,BRSSZ,114.116423,22.335838,114,22
29,39,7903,RK716185253922,BRSSZ,114.117093,22.338358,114,22
30,40,9545,VB878746820066,BRSSZ,114.127475,22.328435,114,22
31,41,5921,MZ530071015048,BRSSZ,114.116657,22.335717,114,22
32,42,605,BQ994086207776,BRSSZ,114.1175,22.333607,114,22
33,43,2464,FL343063694865,BRSSZ,114.101542,22.314085,114,22
34,44,8264,SF309798213631,BRSSZ,113.866175,22.487662,113,22
35,45,8229,SD177990306523,BRSSZ,114.28487,22.572845,114,22
36,46,8165,RZ472853930281,BRSSZ,114.117407,22.332875,114,22
37,48,8582,SY893343051902,BRSSZ,114.120457,22.344703,114,22
38,49,6226,NS416360207471,BRSSZ,114.1165,22.335138,114,22
39,50,8805,TL759146732223,BRSSZ,114.117093,22.338358,114,22
40,51,465,BJ679854131822,BRSSZ,114.284358,22.573032,114,22
41,52,4191,JC552116477432,BRSSZ,114.117332,22.333417,114,22
42,56,4219,JE376812220434,BRSSZ,114.272382,22.568158,114,22
43,57,6361,NY950534024551,BRSSZ,114.12155,22.3422,114,22
44,58,6362,NY951127225655,BRSSZ,114.117093,22.338358,114,22
45,59,11024,YM305778386930,BRSSZ,114.117455,22.332147,114,22
46,60,9079,UB615027475546,BRSSZ,114.117093,22.338358,114,22
47,62,5538,MC574714462738,BRSSZ,114.284358,22.573032,114,22
48,63,7448,QK157523030402,BRSSZ,114.117823,22.332997,114,22
49,64,10037,WG132883929798,BRSSZ,114.117745,22.332015,114,22
50,65,4702,KH139769883903,BRSSZ,114.11763,22.332795,114,22
51,66,10756,XZ984006510666,BRSSZ,114.1175,22.333607,114,22
52,67,7477,QL774959993762,BRSSZ,114.115965,22.337182,114,22
53,68,361,BF258163419622,BRSSZ,113.875163,22.465173,113,22
54,69,3533,HR514728743444,BRSSZ,114.124622,22.324628,114,22
55,70,959,CI731673934438,BRSSZ,114.124533,22.3335,114,22
56,71,6873,PB996788547231,BRSSZ,114.11674,22.334823,114,22
57,72,10523,XK722481192482,BRSSZ,114.124717,22.333433,114,22
58,73,10544,XM341317345500,BRSSZ,114.117332,22.333417,114,22
59,74,7150,PS713253868826,BRSSZ,114.116452,22.335553,114,22
60,75,9866,VV569465327670,BRSSZ,114.11699,22.3353,114,22
61,76,7011,PL158541820670,BRSSZ,114.11768,22.332227,114,22
62,77,8328,SK180257851043,CALLAO_PERU,114.1245,22.332667,114,22
63,78,5022,KZ841230219240,CLIQQ,114.11592,22.336883,114,22
64,79,8024,RR658743696460,CLIQQ,114.116392,22.336615,114,22
65,80,11296,YW638325217174,CLIQQ,114.116088,22.336607,114,22
66,81,8010,RQ820703498393,CLIQQ,114.117672,22.332013,114,22
67,82,11192,YS361365535403,CLIQQ,114.117445,22.33371,114,22
68,83,7177,PU178837835960,CLVAP,114.118273,22.345572,114,22
69,84,8884,TP518047611804,CLVAP,114.116938,22.336368,114,22
70,85,6458,OE565790008242,CLVAP,114.117653,22.33286,114,22
71,86,8314,SJ470286111768,CLVAP,114.11618,22.337672,114,22
72,87,8956,TT687684874451,CMDLA,114.127938,22.328562,114,22
73,88,8300,SI264892570890,CNCWN,103.791,1.258333,103,1
74,89,6418,OC322691502725,CNCWN,103.791,1.258333,103,1
75,91,2128,ES480125886633,CNCWN,103.791,1.258333,103,1
76,92,9088,UB990825640624,CNDCB,103.785267,1.271733,103,1
77,93,1608,DP489047927913,CNDCB,103.792333,1.266167,103,1
78,94,5172,LI483262519427,CNDCB,103.785267,1.271733,103,1
79,95,1900,EE368558399254,CNDCB,103.78375,1.268867,103,1
80,96,8102,RW617009996594,CNDCB,103.7845,1.271833,103,1
81,97,7347,QE711881364669,CNDCB,103.7897,1.260367,103,1
